id,category,keyword,definition,source_refs
31,pulmonary_nodules_and_databases,LIDC_IDRI,"Lung Image Database Consortium and Image Database Resource Initiative; public CT database with annotated lung nodules for CAD development and evaluation.","10"
32,pulmonary_nodules_and_databases,TCIA,"The Cancer Imaging Archive; de-identified cancer imaging repository (primarily DICOM) available for public download and research.","10"
33,pulmonary_nodules_and_databases,LDCT,"Low-dose computed tomography, typically noncontrast, used for lung cancer screening to reduce radiation exposure.","5"
34,pulmonary_nodules_and_databases,pulmonary_nodule,"Focal lung lesion on CT, generally categorized as solid, part-solid, or pure ground-glass.","6;14"
35,pulmonary_nodules_and_databases,nodule_size,"Pulmonary nodule size measured as mean of longest axial diameter and its perpendicular; growth defined as >2 mm (for <15 mm nodules) or >15 percent (for >15 mm nodules).","6"
36,pulmonary_nodules_and_databases,solid_nodule,"Dense nodule without any ground-glass component.","6"
37,pulmonary_nodules_and_databases,ground_glass_nodule,"Hazy nodule with increased attenuation that does not obscure underlying bronchovascular structures.","6;14"
38,pulmonary_nodules_and_databases,part_solid_nodule,"Nodule containing both solid and nonsolid (ground-glass) components.","6;14"
39,pulmonary_nodules_and_databases,spiculated_margin,"Nodule margin with irregular, radiating "spikes" that increases the probability of malignancy.","6;14"
40,pulmonary_nodules_and_databases,intranodular_region,"Region inside the lung nodule from which radiomic texture features are extracted; strongly predictive of malignancy.","4"
41,pulmonary_nodules_and_databases,perinodular_region,"Parenchymal region immediately surrounding the nodule (e.g., within 5 mm) whose features improve classification when combined with intranodular features.","4"
42,pulmonary_nodules_and_databases,adenocarcinoma,"Most prevalent subtype of non-small cell lung cancer and most common true-positive finding in lung cancer screening.","4"
43,pulmonary_nodules_and_databases,granuloma,"Benign inflammatory lesion; most common confounding false positive in noncontrast lung cancer screening.","4;6"
44,pulmonary_nodules_and_databases,perifissural_nodule_PFN,"Solid, homogeneous nodule within approximately 15 mm of pleura or fissure, usually representing benign intrapulmonary lymph node.","6"
45,ner_performance_metrics,true_positive_TP,"Manual annotations that correctly match dictionary phrases in NER evaluation.","2"
46,ner_performance_metrics,false_positive_FP,"Dictionary phrases that match entities other than the manual annotations in NER evaluation.","2"
47,ner_performance_metrics,false_negative_FN,"Manual annotations not matched by dictionary phrases in NER evaluation.","2"
48,ner_performance_metrics,precision,"NER performance metric: true_positives / (true_positives + false_positives) × 100.","2"
49,ner_performance_metrics,recall,"NER performance metric: true_positives / (true_positives + false_negatives) × 100.","2"
50,ner_performance_metrics,f_measure,"Harmonic mean of precision and recall: 2 × precision × recall / (precision + recall).","2"
